've,have
're,are
i'm,i am
you're,you are
we're,we are
i've,i have
we've,we have
you've,you have
usefull,useful
excelent,excellent
helpfull,helpful
dosent,does not
distortioned,distorted
adcited,addicted
barecode,barcode
awesomeeeeeeeee,awesome
frnds,friends
appp,app
watsapp,whatsapp
coool,cool
exelent,exellent
aplication,application
plzzz,please
chating,chatting
goooood,good
plss,please
massenger,messenger
gooooood,good
recomend,recommend
untill,until
soooooo,so
tryed,tried
travelling,traveling
andriod,android
instgram,instagram
occured,occurred
ittt,it
unistall,uninstall
whatapp,whatsapp
whatsaap,whatsapp
goooooood,good
sooooooo,so
customisable,customizable
happend,happened
dowload,download
instergram,instagram
dosnt,doesn't
whatsap,whatsapp
customisation,customization
awasome,awesome
thr,the
owsome,awesome
unistalled,uninstalled
amezing,amazing
mesenger,messenger
coooool,cool
knw,know
suprb,superb
plsss,please
recomended,recommended
reccomend,recommend
iove,love
gooooooood,good
awosome,awesome
xolo,xolo
toooo,to
plzzzz,please
customise,customize
excellant,excellent
useing,using
whtsapp,whatsapp
becoz,because
should've,should have
elexir,elixir
downlod,download
soooooooo,so
amaizing,amazing
somthing,something
boooo,boo
thiss,this
messaged,messaged
dosen't,does not
ughhh,ugh
emailing,emailing
itttt,it
instragram,instagram
frndz,friends
loooove,love
allways,always
massanger,messenger
could've,could have
niceeee,nice
conect,connect
improvment,improvement
appl,apple
supr,super
tooooo,too
uninstal,uninstall
uverse,universe
thia,this
everthing,everything
goodrx,good
doesnot,does not
pleaseee,please
comunication,communication
awesomee,awesome
personalized,personalize
exlent,exellent
belive,believe
goooooooood,good
gpx,gpx
apppp,app
beter,better
doesn,does not
acess,access
cooooool,cool
unistalling,uninstalling
owsm,awesome
ittttt,it
stil,still
aplicacion,application
dwnload,download
itll,it will
luved,loved
comunicate,communicate
unstall,install
scrollable,scrollable
doesent,does not
intagram,intasgram
lovd,love
eror,error
conection,connection
apl,app
issuu,issue
greatt,great
thid,this
convinient,convenient
completly,completely
acces,access
thanku,thank you
lke,like
makin,making
messeger,messenger
lovr,love
unfollowing,unfollowing
befor,before
goooooooooood,good
superbb,superb
pleasee,please
sooooooooo,so
looove,love
awesomeee,awesome
realised,realized
dissapointing,disappointing
looooove,love
watsap,whatsapp
traveled,traveled
geting,getting
plzzzzz,please
plese,please
iike,like
dissappear,disappear
awesm,awesome
facbook,facebook
msging,messaging
niceeeee,nice
kltv,kltv
plssss,please
superbbb,superb
gooooooooood,good
execellent,execellent
downloding,downloading
beacuse,because
wpcu,wpcu
canceling,cancelling
soooooooooo,so
suckss,sucks
graet,great
esy,easy
recive,receive
luvd,love
snapkids,snapkidz
coooooool,cool
reallly,really
wks,wks
glaxy,galaxy
vidoes,videos
supperb,superb
fukin,fucking
easly,easily
thankz,thanks
pleaseeee,please
continously,continuously
cooll,cool
somtimes,someone
coment,comment
evow,evow
dissapear,disapear
wowwww,wow
thankx,thanks
convient,convenient
problm,problem
lovit,love it
downlode,download
whatspp,whatsapp
cooooooooooooooooooooooooooooooooool,cool
appppp,app
veryy,very
shopmium,shopmium
thise,this
becuse,because
updat,update
shitt,shit
shoud,should
extremly,extremely
cooooooool,cool
improvments,improvements
awrsome,awesome
toooooo,too
ayaw,ayaw
elix,elixir
beacause,because
galexy,galaxy
okok,ok
gudd,good
excilent,excellent
cking,fucking
istagram,instagram
alll,all
dsnt,does not
memorized,memorized
greattt,great
wooooow,wow
wery,very
gamr,game
elixr,elixir
waaay,way
wrks,works
awesomeeeee,awesome
avaliable,available
sucksss,sucks
itx,it's
unstalling,installing
'unfortunately,unfortunately
xcellent,excellent
vgood,good
owsam,awesome
twiter,twitter
viver,viber
verson,version
makeing,making
woooooooooooooooow,wow
gamee,game
coooooooool,cool
finaly,finally
evrything,everything
softwear,software
themed,themed
superbbbb,superb
inspite,in spite
hudl,hudl
exilent,excellent
itttttt,it
whatapps,whatsapp
begining,beginning
suparb,superb
docx,docx
amazingg,amazing
sooooooooooo,so
proplem,problem
adress,address
motog,motog
evertime,everytime
dissappointed,disappointed
yesssss,yes
stopped',stopped
equaliser,equalizer
mincraft,minecraft
loooooove,love
exllent,excellent
kn,kn
gallaxy,galaxy
bestt,best
superrr,super
briliant,brilliant
wtsapp,whatsapp
awsam,awesome
logg,log
dwtd,dwtd
batery,battery
awesomeeee,awesome
dissapears,disappear
creater,creator
customised,customized
superr,super
scaner,scanner
superrrr,super
whyy,why
pixlr,pixlr
bluestacks,bluestack
camra,camera
loveeeeeee,love
booooooo,boo
awseome,awesome
reall,real
gooooooooooooood,good
awesomr,awesome
easyer,easier
footalk,footalk
bcause,because
terible,terrible
mototola,motorola
fitures,features
functionallity,functionality
downliad,download
upgrated,upgraded
androidone,android one
tranlate,translate
awessome,awesome
awweeeeessssoooomeeee,awesome
pefect,perfect
faild,failed
shuting,shutting
like't,like it
honourable,honorable
messengar,messenger
awsoooooome,awesome
sooooo,so
sarvice,service
wallpappers,wallpapers
doit,do it
shoooot,shoot
shittist,shittiest
usfull,useful
gooddd,good
eveytime,everytime
veryyyy,very
owsom,awesome
wowwwww,wow
hihihi,hihi
eventhuough,even though
connectuon,connection
niceeeeee,nice
virsion,version
optimised,optimized
amaging,amazing
lovedit,love it
hahahah,hahahaha
itss,it's
alwys,always
whith,with
horible,horrible
automaticly,automatically
greatttt,great
veery,very
downlaod,download
fixxx,fix
wattsapp,whatsapp
emojies,emojis
mssg,message
appli,app
pleaseeeee,please
walpaper,wallpaper
dantdm,dantdm
messenging,messaging
insted,instead
besttt,best
masenger,messenger
yooo,yo
canot,cannot
conecting,connecting
automaticaly,automatically
instigram,instagram
xls,xls
msges,messages
aswm,awesome
wickr,wickr
lagy,laggy
goooooooooooood,good
fidme,fidme
excllent,excellent
transfered,transferred
keybord,keyboard
vrry,very
wbal,wbal
conected,connected
bettet,better
mz,mz
gggg,ggg
unstalled,installed
gooooooooooood,good
wayyyy,way
bettr,better
dowloaded,downloaded
organising,organizing
woooooow,wow
authorization,authorization
iys,is
sccu,sccu
wooooo,woo
croping,cropping
wrkng,working
pepole,people
downloadin,downloading
apppppp,app
discription,description
paychex,paycheck
nicw,nice
divice,divide
i',i
looooooove,love
aewsome,awesome
coolll,cool
tottaly,totally
intall,install
amizing,amazing
unorganized,unorganized
everrrr,ever
muchh,much
whatssap,whatsapp
besttttt,best
exlir,elixir
memorise,memorize
wayy,way
nuce,nice
anybody's,anybody
fentastic,fantastic
zl,zl
screenshoting,screenshotting
synchronisation,synchronization
awsone,awesome
crapy,crappy
plzzzzzz,please
allcast,allcast
uhhhh,uh
insagram,instagram
sighn,sign
superp,superb
frustating,frustrating
verey,very
oooooo,ooooooo
baddd,bad
awesomw,awesome
louncher,launcher
didn,did not
yayyy,yay
recognising,recognizing
meee,me
kmplayer,kmplayer
suckz,sucks
liket,like it
muchhh,much
everrr,ever
convienent,convenient
intrested,interested
supeb,superb
accout,account
awsmmm,awesome
